Name,Type,Phone,Location
Hudson,Grill,36444733,32.109805/34.840232
Humongous,Burger,98943656,32.167599/34.928853
Giraffe,Asian,36916294,32.0769924/34.7811794
Amora mio,italian,35244040,32.083495/34.781631
vitrina,burger,549579180,32.07633780108617/34.78169321410949
dixy,grill,586603981,32.07381574984051/34.79579186014015
